hunt_code,hunt_name,species,sex_type,weapon,hunt_type,season,source_presence,hanumber_res,hanumber_nr,hanumber_total,hunttable_res,hunttable_nr,hunttable_total,utahdraws_res,utahdraws_nr,utahdraws_total,buck_deer_res,buck_deer_nr,buck_deer_total,database_res_reference,database_nr_reference,database_total_reference,recommended_res,recommended_nr,recommended_total,winner_source,confidence,source_support_count,conflicting_sources,database_alignment,recommended_action,decision_reason,hanumber_status,hunttable_status,utahdraws_status,buck_deer_status,database_status,split_bucket,matching_non_database_sources,matching_source_count,matching_res,matching_nr,matching_total,split_review_note,remaining_unresolved_bucket,remaining_review_required
BI6505,Henry Mtns,Bison,Cow Only,Any Legal Weapon,Once-in-a-lifetime,Dec 9 2026 - Dec 20 2026,HANUMBER|UTAHDRAWS|DATABASE,8,3,11,,,,8,2,10,,,,8,3,11,8,3,11,HANUMBER,REVIEW_SOURCE_CONFLICT,1,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,DATABASE_ONLY,SOURCE_AND_DATABASE,,RAC_CURRENT_YEAR_SPLIT,true_source_conflicts,HANUMBER,1,8,3,11,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
BI6536,"Book Cliffs, Bitter Creek",Bison,Cow Only,Any Legal Weapon,Once-in-a-lifetime,Nov 14 2026 - Nov 29 2026,HANUMBER|UTAHDRAWS|DATABASE,15,0,15,,,,14,0,14,,,,15,0,15,15,0,15,HANUMBER,REVIEW_SOURCE_CONFLICT,1,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,DATABASE_ONLY,SOURCE_AND_DATABASE,,RAC_CURRENT_YEAR_SPLIT,true_source_conflicts,HANUMBER,1,15,0,15,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
DA1009,"Pine Valley, Enterprise",Deer,Antlerless,Any Legal Weapon,General Season,Aug 01 2025 - Aug 15 2025,HANUMBER|HUNTTABLE|DATABASE,,,25,,,20,,,,,,,,,25,,,25,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_TOTAL_ONLY,true_source_conflicts,HANUMBER,1,,,25,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
DA1018,"Pine Valley, New Harmony",Deer,Antlerless,"Archery, Muzzleloader, Shotgun",General Season,Aug 01 2025 - Aug 15 2025,HANUMBER|HUNTTABLE|DATABASE,,,20,,,15,,,,,,,,,20,,,20,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_TOTAL_ONLY,true_source_conflicts,HANUMBER,1,,,20,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
DA1033,"San Juan, Monticello",Deer,Antlerless,Archery,General Season,Aug 01 2025 - Sep 14 2025,HANUMBER|HUNTTABLE|DATABASE,,,5,,,10,,,,,,,,,5,,,5,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_TOTAL_ONLY,true_source_conflicts,HANUMBER,1,,,5,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
EA1010,"Cache, Rich",Elk,Antlerless,Any Legal Weapon,General Season,Oct 04 2025 - Oct 26 2025,HANUMBER|HUNTTABLE|DATABASE,18,2,20,31,4,35,,,,,,,18,2,20,18,2,20,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,31,4,35,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
EA1011,"Cache, Richards Hollow",Elk,Antlerless,Any Legal Weapon,General Season,Nov 15 2025 - Dec 31 2025,HANUMBER|HUNTTABLE|DATABASE,9,1,10,18,2,20,,,,,,,9,1,10,9,1,10,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER,1,9,1,10,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
EA1021,Nebo,Elk,Antlerless,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,HANUMBER|HUNTTABLE|DATABASE,207,23,230,252,28,280,,,,,,,207,23,230,207,23,230,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,252,28,280,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
EA1033,Kamas,Elk,Antlerless,Any Legal Weapon,General Season,Nov 08 2025 - Jan 18 2026,HANUMBER|HUNTTABLE|DATABASE,112,13,125,90,10,100,,,,,,,112,13,125,112,13,125,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,90,10,100,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
EA1035,"Kamas, Oakley",Elk,Antlerless,Any Legal Weapon,General Season,Nov 08 2025 - Dec 31 2025,HANUMBER|HUNTTABLE|DATABASE,112,13,125,90,10,100,,,,,,,112,13,125,112,13,125,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,90,10,100,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
EA1054,"Nine Mile, West Anthro",Elk,Antlerless,Any Legal Weapon,General Season,Dec 13 2025 - Dec 30 2025,HANUMBER|HUNTTABLE|DATABASE,45,5,50,90,10,100,,,,,,,45,5,50,45,5,50,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,90,10,100,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
EA1063,Ogden,Elk,Antlerless,Any Legal Weapon,General Season,Oct 04 2025 - Oct 26 2025,HANUMBER|HUNTTABLE|DATABASE,67,8,75,90,10,100,,,,,,,67,8,75,67,8,75,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,90,10,100,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
EA1069,Panguitch Lake,Elk,Antlerless,Any Legal Weapon,General Season,Nov 22 2025 - Nov 30 2025,HANUMBER|HUNTTABLE|DATABASE,31,4,35,22,3,25,,,,,,,31,4,35,31,4,35,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER,1,31,4,35,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
EA1129,Deseret CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,HANUMBER|HUNTTABLE|DATABASE,425,0,425,,,360,,,,,,,425,0,425,425,0,425,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,true_source_conflicts,HANUMBER,1,425,0,425,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
EA1134,Ensign Ranches CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,HANUMBER|HUNTTABLE|DATABASE,60,0,60,,,48,,,,,,,60,0,60,60,0,60,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,true_source_conflicts,HANUMBER,1,60,0,60,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
EA1139,Hardscrabble CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,HANUMBER|HUNTTABLE|DATABASE,10,0,10,,,5,,,,,,,10,0,10,10,0,10,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,true_source_conflicts,HANUMBER,1,10,0,10,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
EA1149,Minnie Maud Ridge CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,HANUMBER|HUNTTABLE|DATABASE,15,0,15,,,16,,,,,,,15,0,15,15,0,15,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,true_source_conflicts,HANUMBER,1,15,0,15,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
EA1193,"Cache, Rich",Elk,Antlerless,Any Legal Weapon,General Season,Nov 15 2025 - Jan 10 2026,HANUMBER|HUNTTABLE|DATABASE,18,2,20,31,4,35,,,,,,,18,2,20,18,2,20,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,31,4,35,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
EA1208,Nebo,Elk,Antlerless,Any Legal Weapon,General Season,Nov 15 2025 - Jan 18 2026,HANUMBER|HUNTTABLE|DATABASE,247,28,275,292,33,325,,,,,,,247,28,275,247,28,275,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,292,33,325,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
EA1222,"Beaver, East",Elk,Antlerless,Any Legal Weapon,General Season,Nov 22 2025 - Dec 12 2025,HANUMBER|HUNTTABLE|DATABASE,27,3,30,36,4,40,,,,,,,27,3,30,27,3,30,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,36,4,40,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
EA1223,"Beaver, East",Elk,Antlerless,Any Legal Weapon,General Season,Dec 13 2025 - Dec 27 2025,HANUMBER|HUNTTABLE|DATABASE,27,3,30,36,4,40,,,,,,,27,3,30,27,3,30,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,36,4,40,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
EA1251,"Southwest Desert, Burbank/Garrison",Elk,Antlerless,Any Legal Weapon,General Season,Aug 01 2025 - Aug 15 2025,HANUMBER|HUNTTABLE|DATABASE,13,2,15,11,1,12,,,,,,,13,2,15,13,2,15,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER,1,13,2,15,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
EA1266,"Box Elder, Hansel Mtn",Elk,Antlerless,Any Legal Weapon,General Season,Aug 01 2025 - Jan 31 2026,HANUMBER|HUNTTABLE|DATABASE,18,2,20,27,3,30,,,,,,,18,2,20,18,2,20,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,27,3,30,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
EA1267,Cache,Elk,Antlerless,Any Legal Weapon,General Season,Oct 04 2025 - Oct 26 2025,HANUMBER|HUNTTABLE|DATABASE,81,9,90,180,20,200,,,,,,,81,9,90,81,9,90,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER,1,81,9,90,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
EA1269,Ogden (Excludes Hyrum),Elk,Antlerless,Any Legal Weapon,General Season,Dec 01 2025 - Dec 31 2025,HANUMBER|HUNTTABLE|DATABASE,180,20,200,270,30,300,,,,,,,180,20,200,180,20,200,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,270,30,300,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
EA1284,Panguitch Lake,Elk,Antlerless,Muzzleloader,General Season,Oct 29 2025 - Nov 06 2025,HANUMBER|HUNTTABLE|DATABASE,31,4,35,49,6,55,,,,,,,31,4,35,31,4,35,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,49,6,55,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
EA1285,Panguitch Lake,Elk,Antlerless,Any Legal Weapon,General Season,Dec 13 2025 - Dec 21 2025,HANUMBER|HUNTTABLE|DATABASE,31,4,35,22,3,25,,,,,,,31,4,35,31,4,35,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER,1,31,4,35,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
EA2033,Kamas,Elk,Antlerless,Archery,General Season,Aug 16 2025 - Sep 17 2025,HANUMBER|HUNTTABLE|DATABASE,225,25,250,180,20,200,,,,,,,225,25,250,225,25,250,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER,1,225,25,250,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
EA2036,"Oquirrh-Stansbury, East",Elk,Antlerless,Any Legal Weapon,General Season,Nov 08 2025 - Jan 31 2026,HANUMBER|HUNTTABLE|DATABASE,54,6,60,63,7,70,,,,,,,54,6,60,54,6,60,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,63,7,70,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
MA1005,Morgan-South Rich,Moose,Antlerless,Any Legal Weapon,Limited Entry,Sep 20 2025 - Oct 19 2025,HANUMBER|HUNTTABLE|DATABASE,6,1,7,2,1,3,,,,,,,6,1,7,6,1,7,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER,1,6,1,7,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
MA1007,Morgan-South Rich,Moose,Antlerless,Archery,Limited Entry,Aug 01 2025 - Sep 19 2025,HANUMBER|HUNTTABLE|DATABASE,3,0,3,2,0,2,,,,,,,3,0,3,3,0,3,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER,1,3,0,3,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
MA1008,"Wasatch Mtns, Salt Lake-Timpanogos",Moose,Antlerless,Any Legal Weapon,Limited Entry,Sep 20 2025 - Oct 19 2025,HANUMBER|HUNTTABLE|DATABASE,4,1,5,2,0,2,,,,,,,4,1,5,4,1,5,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER,1,4,1,5,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
PD1000,"Box Elder, Snowville",Pronghorn,Doe,Any Legal Weapon,General Season,Nov 08 2025 - Dec 07 2025,HANUMBER|HUNTTABLE|DATABASE,72,8,80,36,4,40,,,,,,,72,8,80,72,8,80,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER,1,72,8,80,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
PD1012,"Box Elder, Promontory",Pronghorn,Doe,Any Legal Weapon,General Season,Oct 04 2025 - Oct 26 2025,HANUMBER|HUNTTABLE|DATABASE,22,3,25,18,2,20,,,,,,,22,3,25,22,3,25,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER,1,22,3,25,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
PD1016,Zane CWMU,Pronghorn,Doe,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,HANUMBER|HUNTTABLE|DATABASE,4,0,4,,,6,,,,,,,4,0,4,4,0,4,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,true_source_conflicts,HANUMBER,1,4,0,4,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
PD1017,"Box Elder, West",Pronghorn,Doe,Any Legal Weapon,General Season,Oct 04 2025 - Oct 26 2025,HANUMBER|HUNTTABLE|DATABASE,49,6,55,31,4,35,,,,,,,49,6,55,49,6,55,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER,1,49,6,55,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
PD1026,Pahvant Ensign CWMU,Pronghorn,Doe,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,HANUMBER|HUNTTABLE|DATABASE,4,0,4,,,6,,,,,,,4,0,4,4,0,4,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,true_source_conflicts,HANUMBER,1,4,0,4,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
PD1044,Vernal-Ouray Valley,Pronghorn,Doe,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,HANUMBER|HUNTTABLE|DATABASE,9,1,10,4,1,5,,,,,,,9,1,10,9,1,10,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER,1,9,1,10,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
PD1056,Parker Mtn,Pronghorn,Doe,Any Legal Weapon,General Season,Dec 13 2025 - Dec 21 2025,HANUMBER|HUNTTABLE|DATABASE,36,4,40,63,4,67,,,,,,,36,4,40,36,4,40,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,63,4,67,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
PD1057,"Parker Mtn, Highlands",Pronghorn,Doe,Any Legal Weapon,General Season,Oct 08 2025 - Oct 16 2025,HANUMBER|HUNTTABLE|DATABASE,31,4,35,27,3,30,,,,,,,31,4,35,31,4,35,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER,1,31,4,35,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true
